Unnamed: 0,question,answer,questions_german,answers_german
210,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.,Warum haben Sie gestern nicht zur Schule gegangen?,The hotel is very clean and the staff were very helpful.
211,i stayed home because i wasn't feeling well.,what was your problem?,The hotel is very clean and the staff were very helpful.,Was war Ihr Problem?
212,what was your problem?,my stomach was bothering me.,Was war Ihr Problem?,ich habe mich stört.
213,my stomach was bothering me.,are you feeling any better?,ich habe mich stört.,fühlen Sie sich besser?
214,are you feeling any better?,i'm still feeling a little sick.,fühlen Sie sich besser?,Ich fühle mich noch ein wenig krank.
215,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?",Ich fühle mich noch ein wenig krank.,"i'm going to the store, would you like any pepto bismol?"
216,"i'm going to the store, would you like any pepto bismol?",that's okay.,"i'm going to the store, would you like any pepto bismol?",Das ist okay.
217,that's okay.,i hope you feel better.,Das ist okay.,"ich hoffe, Sie fühlen sich besser."
218,did you hear the good news?,"no, i haven't.",hatt ihr die guten Nachrichten gelesen?,ich habe es nicht getan.
219,"no, i haven't.",i got a promotion at my job.,ich habe es nicht getan.,ich habe eine Promotion bei meinem Job bekommen.
220,i got a promotion at my job.,did you really?,ich habe eine Promotion bei meinem Job bekommen.,Haben Sie wirklich?
221,did you really?,"seriously, i am so excited.",Haben Sie wirklich?,"ernst, ich bin so begeistert."
222,"seriously, i am so excited.","well, congratulations.","ernst, ich bin so begeistert.",Sehr geehrte Damen und Herren!
223,"well, congratulations.",thank you.,Sehr geehrte Damen und Herren!,Vielen Dank.
224,thank you.,i'm so happy for you.,Vielen Dank.,ich bin so glücklich für Sie.
225,i'm so happy for you.,really?,ich bin so glücklich für Sie.,wirklich?
226,really?,yes. you really deserved this.,wirklich?,"Ja, Sie haben das wirklich verdient."
227,yes. you really deserved this.,you think so?,"Ja, Sie haben das wirklich verdient.",Sie denken das?
228,you think so?,yes. good for you.,Sie denken das?,"Ja, gut für Sie."
229,have you heard my good news?,you haven't told me anything yet.,Haben Sie meine gute Nachricht gehört?,Sie haben mir noch nichts gesagt.
230,you haven't told me anything yet.,i got a promotion at work earlier this week.,Sie haben mir noch nichts gesagt.,ich habe eine Promotion in der Arbeit Anfang dieser Woche.
231,i got a promotion at work earlier this week.,is that right?,ich habe eine Promotion in der Arbeit Anfang dieser Woche.,Ist das richtig?
232,is that right?,it's the truth. i am really happy.,Ist das richtig?,ich bin wirklich glücklich.
233,it's the truth. i am really happy.,congratulations on your promotion.,ich bin wirklich glücklich.,gratulieren Sie zu Ihrer Promotion.
234,congratulations on your promotion.,thank you very much.,gratulieren Sie zu Ihrer Promotion.,Vielen Dank.
235,thank you very much.,i am really excited for you.,Vielen Dank.,ich bin wirklich auf Sie gespannt.
236,i am really excited for you.,are you really?,ich bin wirklich auf Sie gespannt.,Sind Sie wirklich?
237,are you really?,i'm serious. you deserved this promotion.,Sind Sie wirklich?,"ich bin ernst, Sie haben diese Förderung verdient."
238,i'm serious. you deserved this promotion.,is that what you really think?,"ich bin ernst, Sie haben diese Förderung verdient.",Ist das wirklich Ihre Meinung?
239,is that what you really think?,"yes, i do.",Ist das wirklich Ihre Meinung?,"ja, ich tue es."
240,"i haven't told you what happened yet, have i?",i haven't heard anything.,"ich habe Ihnen noch nicht gesagt, was passiert ist, habe ich?",ich habe nichts gehört.
241,i haven't heard anything.,"my boss offered me a promotion, and i took it.",ich habe nichts gehört.,"ich habe mir eine Promotion angeboten, und ich habe es genommen."
242,"my boss offered me a promotion, and i took it.",are you serious?,"ich habe mir eine Promotion angeboten, und ich habe es genommen.",Sind Sie ernst?
243,are you serious?,"yes, i am really excited.",Sind Sie ernst?,"ja, ich bin wirklich begeistert."
244,"yes, i am really excited.",that's great. congratulations.,"ja, ich bin wirklich begeistert.","Das ist ein tolles Paket, gratulieren."
245,that's great. congratulations.,i appreciate that.,"Das ist ein tolles Paket, gratulieren.",Ich schätze das.
246,i appreciate that.,you have no idea how happy i am for you.,Ich schätze das.,"Sie haben keine Ahnung, wie glücklich ich für Sie bin."
247,you have no idea how happy i am for you.,for real?,"Sie haben keine Ahnung, wie glücklich ich für Sie bin.",für real?
248,you look really nice today. ,thank you. i just got this outfit the other day.,Sie sehen heute wirklich schön aus.,ich habe es gerade vor kurzem bekommen.
249,thank you. i just got this outfit the other day.,"really, where did you get it?",ich habe es gerade vor kurzem bekommen.,"wirklich, wo haben Sie es bekommen?"
250,"really, where did you get it?",i got it from macy's.,"wirklich, wo haben Sie es bekommen?",ich habe es von macy's bekommen.
251,i got it from macy's.,it's really nice.,ich habe es von macy's bekommen.,es ist wirklich schön.
252,it's really nice.,"thanks again. you look nice today, too.",es ist wirklich schön.,"Vielen Dank, auch Sie sehen heute nett aus."
253,"thanks again. you look nice today, too.",thank you. i just got these shoes today.,"Vielen Dank, auch Sie sehen heute nett aus.","Vielen Dank, ich habe diese Schuhe heute bekommen."
254,thank you. i just got these shoes today.,really? what kind of shoes are they?,"Vielen Dank, ich habe diese Schuhe heute bekommen.",Welche Schuhe sind sie wirklich?
255,really? what kind of shoes are they?,these are called all star chuck taylors.,Welche Schuhe sind sie wirklich?,Diese werden alle Star-Handeltaylors genannt.
256,these are called all star chuck taylors.,i really like those. how much did they cost?,Diese werden alle Star-Handeltaylors genannt.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
257,i really like those. how much did they cost?,they were about forty dollars.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",Sie waren etwa vierzig Dollar.
258,they were about forty dollars.,i think i'm going to go buy myself a pair.,Sie waren etwa vierzig Dollar.,"ich glaube, ich werde mich ein Paar kaufen."
259,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.,"ich liebe es, was Sie heute tragen.",ich habe dieses Outfit vor einigen Tagen gekauft.
260,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?",ich habe dieses Outfit vor einigen Tagen gekauft.,"ich habe es gesehen, dass ich es sah"
261,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.,"ich habe es gesehen, dass ich es sah",ich habe es bei der macy's im santa anit
262,i bought it from the macy's at the santa anita mall.,i really like that outfit.,ich habe es bei der macy's im santa anit,ich mag dieses Outfit wirklich.
263,i really like that outfit.,"thanks. i think you look nice today, too.",ich mag dieses Outfit wirklich.,"ich hoffe, dass Sie heute auch nett aussehen."
264,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.,"ich hoffe, dass Sie heute auch nett aussehen.",ich habe diese neuen Schuhe heute gekauft.
265,thank you. i just bought these new shoes earlier today.,those are nice. what are they?,ich habe diese neuen Schuhe heute gekauft.,"ich habe es nicht geschafft, ich habe es nicht geschafft"
266,those are nice. what are they?,these are some chucks.,"ich habe es nicht geschafft, ich habe es nicht geschafft",Das sind einige rmel.
267,these are some chucks.,those are great. how much were they?,Das sind einige rmel.,"ich habe es nicht geschafft, ich habe es nicht geschafft"
268,those are great. how much were they?,i got them for forty.,"ich habe es nicht geschafft, ich habe es nicht geschafft",ich bekam sie für vierzig.
269,i got them for forty.,i think i might go and find me my own pair of chucks.,ich bekam sie für vierzig.,"ich denke, ich könnte mich meinen eigenen chucks finden."
270,i think that you look very cute today.,is that right? this is a brand new outfit.,"ich glaube, dass Sie heute sehr süß aussehen.",Das ist ein brandneues Outfit.
271,is that right? this is a brand new outfit.,what store did you get it from?,Das ist ein brandneues Outfit.,welcher Speicher hat man es bekommen?
272,what store did you get it from?,i went to macy's and picked it out.,welcher Speicher hat man es bekommen?,ich sah mich zu macy's und sah e
273,i went to macy's and picked it out.,i love your outfit right now.,ich sah mich zu macy's und sah e,ich liebe Ihr Outfit jetzt.
274,i love your outfit right now.,"well, i think you look nice today too.",ich liebe Ihr Outfit jetzt.,"ich glaube, Sie schauen heute auch schön aus."
275,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.,"ich glaube, Sie schauen heute auch schön aus.",ich habe diese neuen Schuhe schon früher im Laden gefunden.
276,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?,ich habe diese neuen Schuhe schon früher im Laden gefunden.,"ich nehme es mir nicht an, wenn ich es"
277,i think that those are some really nice shoes. what kind are they?,these are chucks.,"ich nehme es mir nicht an, wenn ich es",Das sind chucks.
278,these are chucks.,your shoes look really nice. how much did you get them for?,Das sind chucks.,"Deine Schuhe wirken wirklich schön, wie viel habt ihr sie bekommen?"
279,your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.,"Deine Schuhe wirken wirklich schön, wie viel habt ihr sie bekommen?",Sie kosteten mich nur etwa vierzig Dollar.
280,"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.,"sage mir, was tu tu tu tu",ich ziehe und miete gerne Zeichnungen und Malen.
281,i enjoy drawing and painting.,you know how to draw and paint?,ich ziehe und miete gerne Zeichnungen und Malen.,"Sie wissen, wie Sie zeichnen und malen?"
282,you know how to draw and paint?,"yes, i do.","Sie wissen, wie Sie zeichnen und malen?","ja, ich tue es."
283,"yes, i do.",when did you learn how to do that?,"ja, ich tue es.","wann haben Sie gelernt, wie Sie das tun?"
284,when did you learn how to do that?,i learned back in high school.,"wann haben Sie gelernt, wie Sie das tun?",ich habe es schon in der High School gelernt.
285,i learned back in high school.,"oh, so you took an art class?",ich habe es schon in der High School gelernt.,"oh, also haben Sie eine Kunstklasse?"
286,"oh, so you took an art class?","yeah, i loved that class.","oh, also haben Sie eine Kunstklasse?",ich habe diese Klasse geliebt.
287,"yeah, i loved that class.",i see that you're pretty talented.,ich habe diese Klasse geliebt.,"ich sehe, dass du ziemlich talentiert bist."
288,i see that you're pretty talented.,thank you very much.,"ich sehe, dass du ziemlich talentiert bist.",Vielen Dank.
289,thank you very much.,i wish i had a talent like that.,Vielen Dank.,"ich wünschte, ich hätte ein Talent wie dieses."
290,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.,"ich wünschte, ich hätte ein Talent wie dieses.","i'm sure you have a talent, it's just hidden."
291,what kinds of things do you like to do?,i've always liked to draw and paint.,Welche Arten von Dingen möchten Sie tun?,ich habe immer gerne zeichnen und malen.
292,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.,ich habe immer gerne zeichnen und malen.,"ich wusste nicht, dass Sie wussten, wie zu zeichnen und zu mal"
